order_number,line_number,product_id,quantity,unit_price,line_amount,op,change_ts,_ingested_at
500028,3,4018,1,726.3,726.3,I,2026-07-20 02:44:08-05:00,2026-07-21T06:15:00Z
500028,4,4051,5,252.75,1263.75,I,2026-07-20 07:21:15-05:00,2026-07-21T06:15:00Z
500028,5,4009,25,378.73,9468.25,I,2026-07-20 17:43:54-05:00,2026-07-21T06:15:00Z
500030,1,4039,1,165.95,165.95,I,2026-07-20 12:33:00-05:00,2026-07-21T06:15:00Z
500030,2,4032,5,524.69,2623.45,I,2026-07-20 22:12:56-05:00,2026-07-21T06:15:00Z
500030,3,4050,2,354.1,708.2,I,2026-07-20 23:33:18-05:00,2026-07-21T06:15:00Z
500033,1,4012,2,295.52,591.04,I,2026-07-20 02:24:22-05:00,2026-07-21T06:15:00Z
500033,2,4002,1,53.65,53.65,I,2026-07-20 11:13:29-05:00,2026-07-21T06:15:00Z
500033,3,4017,1,615.12,615.12,I,2026-07-20 23:59:10-05:00,2026-07-21T06:15:00Z
500033,4,4002,10,53.65,536.5,I,2026-07-20 15:23:51-05:00,2026-07-21T06:15:00Z
500036,1,4009,1,378.73,378.73,I,2026-07-20 22:25:03-05:00,2026-07-21T06:15:00Z
500036,2,4012,5,295.52,1477.6,I,2026-07-20 06:25:46-05:00,2026-07-21T06:15:00Z
500036,3,4012,50,295.52,14776.0,I,2026-07-20 23:15:34-05:00,2026-07-21T06:15:00Z
500038,1,4003,2,557.28,1114.56,I,2026-07-20 02:03:49-05:00,2026-07-21T06:15:00Z
500038,2,4032,2,524.69,1049.38,I,2026-07-20 15:31:15-05:00,2026-07-21T06:15:00Z
500038,3,4053,25,365.63,9140.75,I,2026-07-20 09:19:46-05:00,2026-07-21T06:15:00Z
500038,4,4009,5,378.73,1893.65,I,2026-07-20 01:54:42-05:00,2026-07-21T06:15:00Z
500038,5,4056,5,351.68,1758.4,I,2026-07-20 02:07:56-05:00,2026-07-21T06:15:00Z
500038,6,4019,1,509.4,509.4,I,2026-07-20 17:35:05-05:00,2026-07-21T06:15:00Z
500041,1,4059,1,461.8,461.8,I,2026-07-20 02:15:54-05:00,2026-07-21T06:15:00Z
500042,1,4010,5,236.48,1182.4,I,2026-07-20 11:17:01-05:00,2026-07-21T06:15:00Z
500042,2,4015,2,398.82,797.64,I,2026-07-20 12:30:08-05:00,2026-07-21T06:15:00Z
500042,3,4010,2,236.48,472.96,I,2026-07-20 22:52:55-05:00,2026-07-21T06:15:00Z
500042,4,4048,2,550.83,1101.66,I,2026-07-20 11:52:04-05:00,2026-07-21T06:15:00Z
500042,5,4014,2,286.38,572.76,I,2026-07-20 04:26:13-05:00,2026-07-21T06:15:00Z
500042,6,4014,2,286.38,572.76,I,2026-07-20 06:21:56-05:00,2026-07-21T06:15:00Z
500043,1,4021,2,879.08,1758.16,I,2026-07-20 21:38:52-05:00,2026-07-21T06:15:00Z
500043,2,4059,10,461.8,4618.0,I,2026-07-20 20:05:21-05:00,2026-07-21T06:15:00Z
500043,3,4058,2,236.27,472.54,I,2026-07-20 04:12:04-05:00,2026-07-21T06:15:00Z
500043,4,4044,25,155.58,3889.5,I,2026-07-20 08:20:46-05:00,2026-07-21T06:15:00Z
500044,1,4005,2,214.31,428.62,I,2026-07-20 13:58:05-05:00,2026-07-21T06:15:00Z
500044,2,4030,5,38.55,192.75,I,2026-07-20 16:52:05-05:00,2026-07-21T06:15:00Z
500048,1,4054,10,639.83,6398.3,I,2026-07-20 06:47:49-05:00,2026-07-21T06:15:00Z
500048,2,4045,2,474.25,948.5,I,2026-07-20 21:20:24-05:00,2026-07-21T06:15:00Z
500048,3,4009,1,378.73,378.73,I,2026-07-20 02:09:40-05:00,2026-07-21T06:15:00Z
500048,4,4017,10,615.12,6151.2,I,2026-07-20 15:57:05-05:00,2026-07-21T06:15:00Z
500049,1,4006,1,318.05,318.05,I,2026-07-20 07:02:43-05:00,2026-07-21T06:15:00Z
500052,1,4024,10,192.96,1929.6,I,2026-07-20 07:55:59-05:00,2026-07-21T06:15:00Z
500052,2,4023,5,104.84,524.2,I,2026-07-20 07:18:51-05:00,2026-07-21T06:15:00Z
500052,3,4003,1,557.28,557.28,I,2026-07-20 17:15:22-05:00,2026-07-21T06:15:00Z
500052,4,4035,10,189.73,1897.3,I,2026-07-20 04:23:59-05:00,2026-07-21T06:15:00Z
500052,5,4052,50,66.74,3337.0,I,2026-07-20 05:42:23-05:00,2026-07-21T06:15:00Z
500052,6,4052,5,66.74,333.7,I,2026-07-20 10:11:39-05:00,2026-07-21T06:15:00Z
500056,1,4058,5,236.27,1181.35,I,2026-07-20 19:36:24-05:00,2026-07-21T06:15:00Z
500056,2,4011,10,391.91,3919.1,I,2026-07-20 17:45:21-05:00,2026-07-21T06:15:00Z
500056,3,4058,1,236.27,236.27,I,2026-07-20 21:58:33-05:00,2026-07-21T06:15:00Z
500060,1,4022,1,609.94,609.94,I,2026-07-20 02:39:13-05:00,2026-07-21T06:15:00Z
500060,2,4042,2,345.92,691.84,I,2026-07-20 02:29:36-05:00,2026-07-21T06:15:00Z
500060,3,4019,2,509.4,1018.8,I,2026-07-20 13:52:16-05:00,2026-07-21T06:15:00Z
500062,1,4009,10,378.73,3787.3,I,2026-07-20 08:26:22-05:00,2026-07-21T06:15:00Z
500066,1,4030,5,38.55,192.75,I,2026-07-20 22:01:29-05:00,2026-07-21T06:15:00Z
500066,2,4033,25,169.48,4237.0,I,2026-07-20 21:02:22-05:00,2026-07-21T06:15:00Z
500066,3,4029,5,54.95,274.75,I,2026-07-20 06:53:08-05:00,2026-07-21T06:15:00Z
500066,4,4016,5,549.59,2747.95,I,2026-07-20 05:26:01-05:00,2026-07-21T06:15:00Z
500066,5,4008,5,88.86,444.3,I,2026-07-20 20:44:50-05:00,2026-07-21T06:15:00Z
500067,1,4046,2,235.48,470.96,I,2026-07-20 06:17:14-05:00,2026-07-21T06:15:00Z
500070,1,4031,1,257.71,257.71,I,2026-07-20 15:54:29-05:00,2026-07-21T06:15:00Z
500070,2,4020,1,680.13,680.13,I,2026-07-20 04:17:05-05:00,2026-07-21T06:15:00Z
500071,1,4001,25,124.88,3122.0,I,2026-07-20 18:44:21-05:00,2026-07-21T06:15:00Z
500072,1,4031,25,257.71,6442.75,I,2026-07-20 14:46:30-05:00,2026-07-21T06:15:00Z
500072,2,4024,25,192.96,4824.0,I,2026-07-20 06:29:07-05:00,2026-07-21T06:15:00Z
500072,3,4048,1,550.83,550.83,I,2026-07-20 18:08:04-05:00,2026-07-21T06:15:00Z
500072,4,4039,5,165.95,829.75,I,2026-07-20 19:46:51-05:00,2026-07-21T06:15:00Z
500076,1,4057,10,230.99,2309.9,I,2026-07-20 11:33:18-05:00,2026-07-21T06:15:00Z
500076,2,4009,5,378.73,1893.65,I,2026-07-20 16:55:49-05:00,2026-07-21T06:15:00Z
500079,1,4057,25,230.99,5774.75,I,2026-07-20 10:08:06-05:00,2026-07-21T06:15:00Z
500079,2,4014,25,286.38,7159.5,I,2026-07-20 21:26:21-05:00,2026-07-21T06:15:00Z
500079,3,4042,1,345.92,345.92,I,2026-07-20 15:50:50-05:00,2026-07-21T06:15:00Z
500083,1,4049,25,732.87,18321.75,I,2026-07-20 10:28:46-05:00,2026-07-21T06:15:00Z
500083,2,4017,2,615.12,1230.24,I,2026-07-20 07:49:57-05:00,2026-07-21T06:15:00Z
500083,3,4011,10,391.91,3919.1,I,2026-07-20 22:30:44-05:00,2026-07-21T06:15:00Z
500084,1,4020,25,680.13,17003.25,I,2026-07-20 22:52:13-05:00,2026-07-21T06:15:00Z
500084,2,4045,25,474.25,11856.25,I,2026-07-20 04:25:51-05:00,2026-07-21T06:15:00Z
500084,3,4019,5,509.4,2547.0,I,2026-07-20 08:10:13-05:00,2026-07-21T06:15:00Z
500088,1,4006,5,318.05,1590.25,I,2026-07-20 23:10:13-05:00,2026-07-21T06:15:00Z
500088,2,4041,2,369.45,738.9,I,2026-07-20 11:51:48-05:00,2026-07-21T06:15:00Z
500088,3,4031,1,257.71,257.71,I,2026-07-20 16:57:00-05:00,2026-07-21T06:15:00Z
500090,1,4039,25,165.95,4148.75,I,2026-07-20 04:35:54-05:00,2026-07-21T06:15:00Z
500090,2,4001,1,124.88,124.88,I,2026-07-20 02:57:26-05:00,2026-07-21T06:15:00Z
500090,3,4053,5,365.63,1828.15,I,2026-07-20 08:02:13-05:00,2026-07-21T06:15:00Z
500093,1,4049,5,732.87,3664.35,I,2026-07-20 22:50:16-05:00,2026-07-21T06:15:00Z
500093,2,4010,10,236.48,2364.8,I,2026-07-20 11:37:56-05:00,2026-07-21T06:15:00Z
500096,1,4015,2,398.82,797.64,I,2026-07-20 14:14:12-05:00,2026-07-21T06:15:00Z
500096,2,4044,25,155.58,3889.5,I,2026-07-20 20:07:59-05:00,2026-07-21T06:15:00Z
500098,1,4047,1,301.89,301.89,I,2026-07-20 03:40:59-05:00,2026-07-21T06:15:00Z
500098,2,4035,25,189.73,4743.25,I,2026-07-20 10:32:37-05:00,2026-07-21T06:15:00Z
500098,3,4036,1,296.75,296.75,I,2026-07-20 08:20:31-05:00,2026-07-21T06:15:00Z
500098,4,4002,1,53.65,53.65,I,2026-07-20 16:12:16-05:00,2026-07-21T06:15:00Z
500098,5,4037,1,362.73,362.73,I,2026-07-20 06:17:24-05:00,2026-07-21T06:15:00Z
500101,1,4030,1,38.55,38.55,I,2026-07-20 16:49:12-05:00,2026-07-21T06:15:00Z
500101,2,4050,1,354.1,354.1,I,2026-07-20 19:17:44-05:00,2026-07-21T06:15:00Z
500102,1,4004,1,581.59,581.59,I,2026-07-20 17:47:40-05:00,2026-07-21T06:15:00Z
500102,2,4030,2,38.55,77.1,I,2026-07-20 19:31:46-05:00,2026-07-21T06:15:00Z
500105,1,4036,25,296.75,7418.75,I,2026-07-20 12:05:45-05:00,2026-07-21T06:15:00Z
500105,2,4048,5,550.83,2754.15,I,2026-07-20 12:46:02-05:00,2026-07-21T06:15:00Z
500107,1,4057,10,230.99,2309.9,I,2026-07-20 15:44:12-05:00,2026-07-21T06:15:00Z
500111,1,4017,5,615.12,3075.6,I,2026-07-20 18:43:40-05:00,2026-07-21T06:15:00Z
500111,2,4005,2,214.31,428.62,I,2026-07-20 04:05:53-05:00,2026-07-21T06:15:00Z
500111,3,4011,5,391.91,1959.55,I,2026-07-20 07:00:25-05:00,2026-07-21T06:15:00Z
500111,4,4058,50,236.27,11813.5,I,2026-07-20 02:04:49-05:00,2026-07-21T06:15:00Z
500111,5,4058,50,236.27,11813.5,I,2026-07-20 02:36:20-05:00,2026-07-21T06:15:00Z
500111,6,4023,2,104.84,209.68,I,2026-07-20 05:18:43-05:00,2026-07-21T06:15:00Z
500113,1,4001,10,124.88,1248.8,I,2026-07-20 19:28:49-05:00,2026-07-21T06:15:00Z
500115,1,4011,2,391.91,783.82,I,2026-07-20 23:25:33-05:00,2026-07-21T06:15:00Z
500115,2,4015,5,398.82,1994.1,I,2026-07-20 18:45:43-05:00,2026-07-21T06:15:00Z
500119,1,4002,10,53.65,536.5,I,2026-07-20 18:26:54-05:00,2026-07-21T06:15:00Z
500119,2,4004,5,581.59,2907.95,I,2026-07-20 17:16:56-05:00,2026-07-21T06:15:00Z
500122,1,4046,1,235.48,235.48,I,2026-07-20 08:48:15-05:00,2026-07-21T06:15:00Z
500122,2,4013,10,658.18,6581.8,I,2026-07-20 18:14:03-05:00,2026-07-21T06:15:00Z
500122,3,4023,25,104.84,2621.0,I,2026-07-20 08:35:00-05:00,2026-07-21T06:15:00Z
500124,1,4021,2,879.08,1758.16,I,2026-07-20 01:15:06-05:00,2026-07-21T06:15:00Z
500124,2,4030,2,38.55,77.1,I,2026-07-20 22:28:31-05:00,2026-07-21T06:15:00Z
500124,3,4011,5,391.91,1959.55,I,2026-07-20 04:03:02-05:00,2026-07-21T06:15:00Z
500124,4,4008,1,88.86,88.86,I,2026-07-20 18:55:36-05:00,2026-07-21T06:15:00Z
500124,5,4051,5,252.75,1263.75,I,2026-07-20 12:39:05-05:00,2026-07-21T06:15:00Z
500124,6,4036,10,296.75,2967.5,I,2026-07-20 14:02:23-05:00,2026-07-21T06:15:00Z
500128,1,4049,1,732.87,732.87,I,2026-07-20 03:35:11-05:00,2026-07-21T06:15:00Z
500128,2,4020,1,680.13,680.13,I,2026-07-20 13:46:26-05:00,2026-07-21T06:15:00Z
500128,3,4058,50,236.27,11813.5,I,2026-07-20 16:29:39-05:00,2026-07-21T06:15:00Z
500128,4,4002,25,53.65,1341.25,I,2026-07-20 21:44:20-05:00,2026-07-21T06:15:00Z
500132,1,4054,1,639.83,639.83,I,2026-07-20 01:02:48-05:00,2026-07-21T06:15:00Z
500132,2,4029,5,54.95,274.75,I,2026-07-20 15:49:47-05:00,2026-07-21T06:15:00Z
500132,3,4056,5,351.68,1758.4,I,2026-07-20 06:42:42-05:00,2026-07-21T06:15:00Z
500132,4,4028,10,20.05,200.5,I,2026-07-20 14:59:36-05:00,2026-07-21T06:15:00Z
500135,1,4031,5,257.71,1288.55,I,2026-07-20 06:02:03-05:00,2026-07-21T06:15:00Z
500135,2,4012,50,295.52,14776.0,I,2026-07-20 02:08:19-05:00,2026-07-21T06:15:00Z
500135,3,4058,5,236.27,1181.35,I,2026-07-20 06:07:30-05:00,2026-07-21T06:15:00Z
500135,4,4009,5,378.73,1893.65,I,2026-07-20 16:35:50-05:00,2026-07-21T06:15:00Z
500136,1,4041,1,369.45,369.45,I,2026-07-20 14:57:15-05:00,2026-07-21T06:15:00Z
500136,2,4030,2,38.55,77.1,I,2026-07-20 13:01:44-05:00,2026-07-21T06:15:00Z
500140,1,4021,1,879.08,879.08,I,2026-07-20 15:42:26-05:00,2026-07-21T06:15:00Z
500140,2,4004,5,581.59,2907.95,I,2026-07-20 02:53:49-05:00,2026-07-21T06:15:00Z
500142,1,4034,5,312.66,1563.3,I,2026-07-20 04:04:03-05:00,2026-07-21T06:15:00Z
500142,2,4030,5,38.55,192.75,I,2026-07-20 04:42:16-05:00,2026-07-21T06:15:00Z
500146,1,4037,5,362.73,1813.65,I,2026-07-20 01:00:57-05:00,2026-07-21T06:15:00Z
500150,1,4053,2,365.63,731.26,I,2026-07-20 15:34:46-05:00,2026-07-21T06:15:00Z
500150,2,4051,5,252.75,1263.75,I,2026-07-20 22:35:45-05:00,2026-07-21T06:15:00Z
500150,3,4054,1,639.83,639.83,I,2026-07-20 17:23:50-05:00,2026-07-21T06:15:00Z
500152,1,4048,25,550.83,13770.75,I,2026-07-20 09:03:08-05:00,2026-07-21T06:15:00Z
500152,2,4008,2,88.86,177.72,I,2026-07-20 05:59:59-05:00,2026-07-21T06:15:00Z
500156,1,4011,5,391.91,1959.55,I,2026-07-20 17:33:18-05:00,2026-07-21T06:15:00Z
500156,2,4015,5,398.82,1994.1,I,2026-07-20 10:18:57-05:00,2026-07-21T06:15:00Z
500156,3,4049,2,732.87,1465.74,I,2026-07-20 19:57:53-05:00,2026-07-21T06:15:00Z
500160,1,4047,2,301.89,603.78,I,2026-07-20 20:24:55-05:00,2026-07-21T06:15:00Z
500160,2,4041,2,369.45,738.9,I,2026-07-20 16:43:43-05:00,2026-07-21T06:15:00Z
500160,3,4018,5,726.3,3631.5,I,2026-07-20 01:56:53-05:00,2026-07-21T06:15:00Z
500163,1,4020,50,680.13,34006.5,I,2026-07-20 08:28:40-05:00,2026-07-21T06:15:00Z
500166,1,4057,1,230.99,230.99,I,2026-07-20 04:22:05-05:00,2026-07-21T06:15:00Z
500168,1,4060,5,143.54,717.7,I,2026-07-20 04:43:31-05:00,2026-07-21T06:15:00Z
500170,1,4017,25,615.12,15378.0,I,2026-07-20 04:07:02-05:00,2026-07-21T06:15:00Z
500170,2,4056,25,351.68,8792.0,I,2026-07-20 23:21:49-05:00,2026-07-21T06:15:00Z
500170,3,4056,50,351.68,17584.0,I,2026-07-20 18:14:27-05:00,2026-07-21T06:15:00Z
500171,1,4045,1,474.25,474.25,I,2026-07-20 22:56:09-05:00,2026-07-21T06:15:00Z
500171,2,4028,5,20.05,100.25,I,2026-07-20 11:22:49-05:00,2026-07-21T06:15:00Z
500171,3,4048,25,550.83,13770.75,I,2026-07-20 04:51:44-05:00,2026-07-21T06:15:00Z
500173,1,4030,10,38.55,385.5,I,2026-07-20 12:46:29-05:00,2026-07-21T06:15:00Z
500173,2,4034,5,312.66,1563.3,I,2026-07-20 18:08:15-05:00,2026-07-21T06:15:00Z
500173,3,4002,25,53.65,1341.25,I,2026-07-20 12:51:38-05:00,2026-07-21T06:15:00Z
500176,1,4038,5,465.24,2326.2,I,2026-07-20 09:40:56-05:00,2026-07-21T06:15:00Z
500176,2,4007,1,11.53,11.53,I,2026-07-20 15:11:24-05:00,2026-07-21T06:15:00Z
500176,3,4042,2,345.92,691.84,I,2026-07-20 11:21:01-05:00,2026-07-21T06:15:00Z
500178,1,4003,10,557.28,5572.8,I,2026-07-20 07:57:31-05:00,2026-07-21T06:15:00Z
500178,2,4060,10,143.54,1435.4,I,2026-07-20 13:25:05-05:00,2026-07-21T06:15:00Z
500178,3,4034,2,312.66,625.32,I,2026-07-20 09:17:06-05:00,2026-07-21T06:15:00Z
500181,1,4043,1,196.26,196.26,I,2026-07-20 05:53:16-05:00,2026-07-21T06:15:00Z
500181,2,4006,25,318.05,7951.25,I,2026-07-20 07:57:30-05:00,2026-07-21T06:15:00Z
500182,1,4008,2,88.86,177.72,I,2026-07-20 15:59:27-05:00,2026-07-21T06:15:00Z
500184,1,4009,5,378.73,1893.65,I,2026-07-20 17:39:31-05:00,2026-07-21T06:15:00Z
500186,1,4023,50,104.84,5242.0,I,2026-07-20 13:24:49-05:00,2026-07-21T06:15:00Z
500186,2,4031,5,257.71,1288.55,I,2026-07-20 02:30:18-05:00,2026-07-21T06:15:00Z
500186,3,4026,2,360.6,721.2,I,2026-07-20 03:38:37-05:00,2026-07-21T06:15:00Z
500186,4,4057,1,230.99,230.99,I,2026-07-20 13:20:18-05:00,2026-07-21T06:15:00Z
500186,5,4047,25,301.89,7547.25,I,2026-07-20 02:34:37-05:00,2026-07-21T06:15:00Z
500186,6,4030,1,38.55,38.55,I,2026-07-20 18:37:02-05:00,2026-07-21T06:15:00Z
500189,1,4003,1,557.28,557.28,I,2026-07-20 12:40:20-05:00,2026-07-21T06:15:00Z
500192,1,4052,1,66.74,66.74,I,2026-07-20 18:53:44-05:00,2026-07-21T06:15:00Z
500192,2,4001,1,124.88,124.88,I,2026-07-20 20:13:43-05:00,2026-07-21T06:15:00Z
500192,3,4055,2,490.56,981.12,I,2026-07-20 05:55:34-05:00,2026-07-21T06:15:00Z
500192,4,4035,1,189.73,189.73,I,2026-07-20 19:02:45-05:00,2026-07-21T06:15:00Z
500192,5,4043,10,196.26,1962.6,I,2026-07-20 17:00:17-05:00,2026-07-21T06:15:00Z
500196,1,4058,2,236.27,472.54,I,2026-07-20 11:46:13-05:00,2026-07-21T06:15:00Z
500196,2,4016,5,549.59,2747.95,I,2026-07-20 23:39:36-05:00,2026-07-21T06:15:00Z
500196,3,4048,25,550.83,13770.75,I,2026-07-20 04:13:02-05:00,2026-07-21T06:15:00Z
500196,4,4045,10,474.25,4742.5,I,2026-07-20 01:38:29-05:00,2026-07-21T06:15:00Z
500196,5,4057,25,230.99,5774.75,I,2026-07-20 17:14:09-05:00,2026-07-21T06:15:00Z
500199,1,4021,5,879.08,4395.4,I,2026-07-20 05:36:40-05:00,2026-07-21T06:15:00Z
500199,2,4026,10,360.6,3606.0,I,2026-07-20 01:06:04-05:00,2026-07-21T06:15:00Z
500199,3,4059,5,461.8,2309.0,I,2026-07-20 07:44:04-05:00,2026-07-21T06:15:00Z
500199,4,4024,1,192.96,192.96,I,2026-07-20 11:34:21-05:00,2026-07-21T06:15:00Z
500199,5,4023,10,104.84,1048.4,I,2026-07-20 09:01:59-05:00,2026-07-21T06:15:00Z
500202,1,4042,1,345.92,345.92,I,2026-07-20 20:48:02-05:00,2026-07-21T06:15:00Z
500203,1,4011,1,391.91,391.91,I,2026-07-20 07:38:07-05:00,2026-07-21T06:15:00Z
500203,2,4040,25,371.54,9288.5,I,2026-07-20 20:54:17-05:00,2026-07-21T06:15:00Z
500204,1,4056,10,351.68,3516.8,I,2026-07-20 07:58:42-05:00,2026-07-21T06:15:00Z
500204,2,4006,5,318.05,1590.25,I,2026-07-20 18:00:23-05:00,2026-07-21T06:15:00Z
500204,3,4050,25,354.1,8852.5,I,2026-07-20 14:10:05-05:00,2026-07-21T06:15:00Z
500207,1,4016,5,549.59,2747.95,I,2026-07-20 16:18:34-05:00,2026-07-21T06:15:00Z
500207,2,4016,2,549.59,1099.18,I,2026-07-20 09:58:33-05:00,2026-07-21T06:15:00Z
500207,3,4051,2,252.75,505.5,I,2026-07-20 23:25:37-05:00,2026-07-21T06:15:00Z
500208,1,4012,50,295.52,14776.0,I,2026-07-20 13:17:22-05:00,2026-07-21T06:15:00Z
500208,2,4047,10,301.89,3018.9,I,2026-07-20 07:56:45-05:00,2026-07-21T06:15:00Z
500208,3,4016,5,549.59,2747.95,I,2026-07-20 08:43:31-05:00,2026-07-21T06:15:00Z
500208,4,4059,25,461.8,11545.0,I,2026-07-20 03:01:17-05:00,2026-07-21T06:15:00Z
500212,1,4048,10,550.83,5508.3,I,2026-07-20 23:22:53-05:00,2026-07-21T06:15:00Z
500213,1,4009,5,378.73,1893.65,I,2026-07-20 09:54:27-05:00,2026-07-21T06:15:00Z
500213,2,4028,2,20.05,40.1,I,2026-07-20 14:57:28-05:00,2026-07-21T06:15:00Z
500217,1,4002,2,53.65,107.3,I,2026-07-20 10:07:19-05:00,2026-07-21T06:15:00Z
500217,2,4031,5,257.71,1288.55,I,2026-07-20 09:39:48-05:00,2026-07-21T06:15:00Z
500217,3,4053,10,365.63,3656.3,I,2026-07-20 09:55:00-05:00,2026-07-21T06:15:00Z
500217,4,4027,2,45.18,90.36,I,2026-07-20 22:26:41-05:00,2026-07-21T06:15:00Z
500217,5,4006,10,318.05,3180.5,I,2026-07-20 09:08:37-05:00,2026-07-21T06:15:00Z
500217,6,4037,25,362.73,9068.25,I,2026-07-20 04:29:40-05:00,2026-07-21T06:15:00Z
500219,1,4029,5,54.95,274.75,I,2026-07-20 22:01:37-05:00,2026-07-21T06:15:00Z
500219,2,4058,10,236.27,2362.7,I,2026-07-20 15:09:40-05:00,2026-07-21T06:15:00Z
500219,3,4058,1,236.27,236.27,I,2026-07-20 05:48:40-05:00,2026-07-21T06:15:00Z
500220,1,4047,25,301.89,7547.25,I,2026-07-20 19:59:24-05:00,2026-07-21T06:15:00Z
500220,2,4042,2,345.92,691.84,I,2026-07-20 22:25:12-05:00,2026-07-21T06:15:00Z
500224,1,4039,5,165.95,829.75,I,2026-07-20 10:14:11-05:00,2026-07-21T06:15:00Z
500224,2,4001,25,124.88,3122.0,I,2026-07-20 11:34:38-05:00,2026-07-21T06:15:00Z
500224,3,4053,1,365.63,365.63,I,2026-07-20 03:48:10-05:00,2026-07-21T06:15:00Z
500224,4,4056,1,351.68,351.68,I,2026-07-20 02:20:34-05:00,2026-07-21T06:15:00Z
500227,1,4030,10,38.55,385.5,I,2026-07-20 23:09:07-05:00,2026-07-21T06:15:00Z
500227,2,4043,1,196.26,196.26,I,2026-07-20 04:33:43-05:00,2026-07-21T06:15:00Z
500230,1,4045,2,474.25,948.5,I,2026-07-20 14:35:08-05:00,2026-07-21T06:15:00Z
500230,2,4020,50,680.13,34006.5,I,2026-07-20 23:41:24-05:00,2026-07-21T06:15:00Z
500230,3,4033,1,169.48,169.48,I,2026-07-20 23:44:09-05:00,2026-07-21T06:15:00Z
500230,4,4051,2,252.75,505.5,I,2026-07-20 03:20:48-05:00,2026-07-21T06:15:00Z
500230,5,4027,25,45.18,1129.5,I,2026-07-20 14:29:28-05:00,2026-07-21T06:15:00Z
500230,6,4040,1,371.54,371.54,I,2026-07-20 18:14:10-05:00,2026-07-21T06:15:00Z
500231,1,4044,1,155.58,155.58,I,2026-07-20 19:52:41-05:00,2026-07-21T06:15:00Z
500231,2,4023,5,104.84,524.2,I,2026-07-20 13:12:33-05:00,2026-07-21T06:15:00Z
500231,3,4059,1,461.8,461.8,I,2026-07-20 15:55:50-05:00,2026-07-21T06:15:00Z
500231,4,4052,50,66.74,3337.0,I,2026-07-20 13:08:03-05:00,2026-07-21T06:15:00Z
500234,1,4058,1,236.27,236.27,I,2026-07-20 08:04:14-05:00,2026-07-21T06:15:00Z
500234,2,4055,1,490.56,490.56,I,2026-07-20 18:51:47-05:00,2026-07-21T06:15:00Z
500234,3,4053,50,365.63,18281.5,I,2026-07-20 17:12:53-05:00,2026-07-21T06:15:00Z
500235,1,4033,2,169.48,338.96,I,2026-07-20 13:17:24-05:00,2026-07-21T06:15:00Z
500235,2,4037,5,362.73,1813.65,I,2026-07-20 04:26:36-05:00,2026-07-21T06:15:00Z
500235,3,4059,1,461.8,461.8,I,2026-07-20 04:46:36-05:00,2026-07-21T06:15:00Z
500239,1,4002,5,53.65,268.25,I,2026-07-20 21:31:43-05:00,2026-07-21T06:15:00Z
500239,2,4018,25,726.3,18157.5,I,2026-07-20 17:23:48-05:00,2026-07-21T06:15:00Z
500242,1,4030,5,38.55,192.75,I,2026-07-20 16:17:19-05:00,2026-07-21T06:15:00Z
500242,2,4051,25,252.75,6318.75,I,2026-07-20 01:58:15-05:00,2026-07-21T06:15:00Z
