product_id,sku,product_name,category,uom,unit_cost,list_price,op,change_ts,_ingested_at
4030,SAF-8658,By Set,Safety,EA,25.24,38.55,I,2026-07-20 16:57:33-05:00,2026-07-21T06:15:00Z
4031,PLU-2838,Appear Pack,Plumbing,EA,146.63,257.71,I,2026-07-20 22:18:24-05:00,2026-07-21T06:15:00Z
4032,ADH-9735,Follow Assembly,Adhesives,EA,283.84,524.69,I,2026-07-20 06:59:41-05:00,2026-07-21T06:15:00Z
4033,ADH-6627,Also Pack,Adhesives,EA,95.91,169.48,I,2026-07-20 21:28:25-05:00,2026-07-21T06:15:00Z
4034,ADH-6881,Nothing Assembly,Adhesives,EA,171.2,312.66,I,2026-07-20 04:12:28-05:00,2026-07-21T06:15:00Z
4035,FAS-8049,Thousand Pack,Fasteners,EA,94.76,189.73,I,2026-07-20 18:44:28-05:00,2026-07-21T06:15:00Z
4036,SAF-6851,Beat Kit,Safety,EA,196.36,296.75,I,2026-07-20 10:31:24-05:00,2026-07-21T06:15:00Z
4037,ELE-2478,Think Kit,Electrical,EA,193.52,362.73,I,2026-07-20 15:54:36-05:00,2026-07-21T06:15:00Z
4038,ELE-3107,About Unit,Electrical,EA,204.38,465.24,I,2026-07-20 12:30:52-05:00,2026-07-21T06:15:00Z
4039,POW-2741,Big Assembly,Power Tools,EA,122.6,165.95,I,2026-07-20 15:07:47-05:00,2026-07-21T06:15:00Z
4040,ELE-1997,Bank Assembly,Electrical,EA,230.77,371.54,I,2026-07-20 06:14:38-05:00,2026-07-21T06:15:00Z
4041,SAF-6508,View Unit,Safety,EA,240.91,369.45,I,2026-07-20 23:59:34-05:00,2026-07-21T06:15:00Z
4042,SAF-9018,Trip Set,Safety,EA,187.54,345.92,I,2026-07-20 19:45:57-05:00,2026-07-21T06:15:00Z
4043,FAS-9736,Do Unit,Fasteners,EA,86.83,196.26,I,2026-07-20 22:44:03-05:00,2026-07-21T06:15:00Z
4044,ELE-3500,Exactly Pack,Electrical,EA,70.42,155.58,I,2026-07-20 19:10:27-05:00,2026-07-21T06:15:00Z
4045,ABR-7377,Study Set,Abrasives,EA,265.9,474.25,I,2026-07-20 01:03:45-05:00,2026-07-21T06:15:00Z
4046,ADH-4877,Already Kit,Adhesives,EA,123.52,235.48,I,2026-07-20 02:19:31-05:00,2026-07-21T06:15:00Z
4047,PLU-8994,Whether Set,Plumbing,EA,192.41,301.89,I,2026-07-20 22:56:30-05:00,2026-07-21T06:15:00Z
4048,SAF-9304,Safe Unit,Safety,EA,280.91,550.83,I,2026-07-20 22:13:47-05:00,2026-07-21T06:15:00Z
4049,ELE-2704,Public Unit,Electrical,EA,310.84,732.87,I,2026-07-20 02:25:37-05:00,2026-07-21T06:15:00Z
4050,POW-5811,Government Unit,Power Tools,EA,166.65,354.1,I,2026-07-20 15:32:18-05:00,2026-07-21T06:15:00Z
4051,PLU-5993,Always Kit,Plumbing,EA,180.86,252.75,I,2026-07-20 16:44:50-05:00,2026-07-21T06:15:00Z
4052,ABR-5757,Game Pack,Abrasives,EA,39.85,66.74,I,2026-07-20 01:31:07-05:00,2026-07-21T06:15:00Z
4053,FAS-3794,According Pack,Fasteners,EA,196.6,365.63,I,2026-07-20 04:51:58-05:00,2026-07-21T06:15:00Z
4054,POW-7570,Box Kit,Power Tools,EA,280.55,639.83,I,2026-07-20 21:44:12-05:00,2026-07-21T06:15:00Z
4055,PLU-7395,Tend Assembly,Plumbing,EA,264.63,490.56,I,2026-07-20 10:16:23-05:00,2026-07-21T06:15:00Z
4056,HAN-9476,Key Assembly,Hand Tools,EA,251.58,351.68,I,2026-07-20 06:15:20-05:00,2026-07-21T06:15:00Z
4057,PLU-7384,Too Set,Plumbing,EA,112.66,230.99,I,2026-07-20 03:11:55-05:00,2026-07-21T06:15:00Z
4058,HAN-4128,Until Assembly,Hand Tools,EA,144.65,236.27,I,2026-07-20 02:17:28-05:00,2026-07-21T06:15:00Z
4059,HAN-3988,Surface Set,Hand Tools,EA,269.19,461.8,I,2026-07-20 03:19:32-05:00,2026-07-21T06:15:00Z
4060,FAS-5958,Impact Unit,Fasteners,EA,100.89,143.54,I,2026-07-20 14:04:56-05:00,2026-07-21T06:15:00Z
